央视频道,#genre#
CCTV1,http://47.99.202.156:8001/apptv/cctv1.m3u8
CCTV1,http://47.99.202.156:8001/cdnlive/cctv1.m3u8
CCTV1,http://101.35.240.114:88/live.php?id=CCTV1
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=1
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=2
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=3
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=4
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=5
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=6
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=7
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=8
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=9
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=10
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=11
CCTV1,http://47.99.202.156:8001/tvlive/cctv1hd.m3u8?node=12
CCTV1,http://38.75.136.137:98/gslb/dsdqpub/cctv1hd.m3u8?auth=tvzb260306
健康甄选,http://47.97.252.137:81/applive/102.m3u8?app=jiashitong
CCTV2,http://47.99.202.156:8001/apptv/cctv2.m3u8
CCTV2,http://47.99.202.156:8001/cdnlive/cctv2.m3u8
CCTV2,http://101.35.240.114:88/live.php?id=CCTV2
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=1
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=2
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=3
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=4
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=5
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=6
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=7
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=8
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=9
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=10
CCTV2,http://47.99.202.156:8001/tvlive/cctv2hd.m3u8?node=11
CCTV2,http://38.75.136.137:98/gslb/dsdqpub/cctv2hd.m3u8?auth=tvzb260306
CCTV3,http://47.99.202.156:8001/apptv/cctv3.m3u8
CCTV3,http://47.99.202.156:8001/cdnlive/cctv3.m3u8
CCTV3,http://101.35.240.114:88/live.php?id=CCTV3
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=1
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=2
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=3
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=4
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=5
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=6
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=7
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=8
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=9
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=10
CCTV3,http://47.99.202.156:8001/tvlive/cctv3hd.m3u8?node=11
CCTV3,http://38.75.136.137:98/gslb/dsdqpub/cctv3hd.m3u8?auth=tvzb260306
养生馆,http://47.97.252.137:81/applive/mkt.m3u8?app=jiashitong
CCTV4,http://47.99.202.156:8001/apptv/cctv4.m3u8
CCTV4,http://47.99.202.156:8001/cdnlive/cctv4.m3u8
CCTV4,http://101.35.240.114:88/live.php?id=CCTV4
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=1
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=2
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=3
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=4
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=5
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=6
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=7
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=8
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=9
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=10
CCTV4,http://47.99.202.156:8001/tvlive/cctv4hd.m3u8?node=11
CCTV4,http://38.75.136.137:98/gslb/dsdqpub/cctv4hd.m3u8?auth=tvzb260306
CCTV5,http://47.99.202.156:8001/apptv/cctv5.m3u8
CCTV5,http://47.99.202.156:8001/cdnlive/cctv5.m3u8
CCTV5,http://101.35.240.114:88/live.php?id=CCTV5
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=1
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=2
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=3
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=4
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=5
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=6
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=7
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=8
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=9
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=10
CCTV5,http://47.99.202.156:8001/tvlive/cctv5hd.m3u8?node=11
CCTV5,http://38.75.136.137:98/gslb/dsdqpub/cctv5hd.m3u8?auth=tvzb260306
精品甄选,http://47.97.252.137:81/applive/yss.m3u8?app=jiashitong
CCTV6,http://47.99.202.156:8001/apptv/cctv6.m3u8
